date,type,concert_date,survey_result
42632.85833,standard,42675.75,casual fan
42633.23194,vip,42675.75,hardcore fan
42633.25347,standard,42675.75,
42633.3,standard,42675.75,casual fan
42633.43611,standard,42675.75,
42633.53333,standard,42675.75,
42633.60833,vip,42675.75,
42633.64653,standard,42675.75,hardcore fan
42633.65556,standard,42675.75,casual fan
42633.70694,standard,42675.75,
42633.75347,standard,42675.75,
42633.76042,vip,42675.75,hardcore fan
42633.94028,standard,42675.75,
42634.02361,standard,42675.75,hardcore fan
42634.24583,standard,42675.75,
42634.325,standard,42675.75,hardcore fan
42634.36667,standard,42675.75,hardcore fan
42634.46944,standard,42675.75,
42634.53194,standard,42675.75,hardcore fan
42634.64097,standard,42675.75,casual fan
42634.76944,vip,42675.75,
42635.02083,standard,42675.75,
42635.02292,standard,42675.75,casual fan
42635.52778,standard,42675.75,casual fan
42635.79722,standard,42675.75,casual fan
42636.01181,standard,42675.75,casual fan
42636.03264,standard,42675.75,
42636.225,standard,42675.75,
42636.23194,standard,42675.75,casual fan
42636.39653,standard,42675.75,
42637.10625,standard,42675.75,
42637.1625,vip,42675.75,casual fan
42637.25069,vip,42675.75,hardcore fan
42637.38333,vip,42675.75,hardcore fan
42637.61319,vip,42675.75,hardcore fan
42637.69236,standard,42675.75,
42637.76389,vip,42675.75,hardcore fan
42637.81944,vip,42675.75,
42637.90764,standard,42675.75,
42638.09097,standard,42675.75,
42638.11181,standard,42675.75,
42638.24375,standard,42675.75,
42638.60833,vip,42675.75,
42638.70278,standard,42675.75,
42638.88542,vip,42675.75,casual fan
42639.04167,standard,42675.75,casual fan
42639.09236,standard,42675.75,casual fan
42639.18958,vip,42675.75,hardcore fan
42639.31597,standard,42675.75,
42639.44306,vip,42675.75,casual fan
42639.46181,standard,42675.75,hardcore fan
42639.69514,standard,42675.75,hardcore fan
42639.80764,standard,42675.75,
42639.88611,standard,42675.75,
42640.11736,standard,42675.75,
42640.46111,vip,42675.75,
42640.58611,standard,42675.75,casual fan
42640.63611,vip,42675.75,casual fan
42640.87361,standard,42675.75,
42640.92778,vip,42675.75,
42640.93056,standard,42675.75,hardcore fan
42640.93333,standard,42675.75,
42640.93889,standard,42675.75,
42640.96389,vip,42675.75,
42640.98333,standard,42675.75,casual fan
42641.01389,vip,42675.75,hardcore fan
42641.23611,standard,42675.75,hardcore fan
42641.25278,standard,42675.75,
42641.35694,standard,42675.75,
42641.54236,standard,42675.75,casual fan
42641.75069,vip,42675.75,hardcore fan
42641.76944,standard,42675.75,
42641.94653,vip,42675.75,hardcore fan
42642.13958,vip,42675.75,
42642.18403,standard,42675.75,
42642.18403,standard,42675.75,
42642.26736,vip,42675.75,
42642.44306,vip,42675.75,
42642.46389,vip,42675.75,casual fan
42642.47222,vip,42675.75,hardcore fan
42642.78125,vip,42675.75,casual fan
42643.26458,standard,42675.75,casual fan
42643.28056,standard,42675.75,
42643.35625,standard,42675.75,
42643.41736,vip,42675.75,hardcore fan
42643.54861,standard,42675.75,
42643.56875,standard,42675.75,hardcore fan
42643.82083,vip,42675.75,hardcore fan
42643.98681,standard,42675.75,
42643.99722,standard,42675.75,casual fan
42644.02222,standard,42675.75,casual fan
42644.07292,standard,42675.75,casual fan
42644.11528,standard,42675.75,
42644.13194,standard,42675.75,casual fan
42644.32847,standard,42675.75,casual fan
42644.43472,standard,42675.75,
42644.50486,standard,42675.75,
42644.54653,standard,42675.75,
42644.56458,standard,42675.75,casual fan
42644.62014,standard,42675.75,
42644.62222,standard,42675.75,
42644.74653,standard,42675.75,hardcore fan
42644.76875,standard,42675.75,
42645.02639,vip,42675.75,
42645.04583,standard,42675.75,casual fan
42645.19792,standard,42675.75,
42645.21389,vip,42675.75,hardcore fan
42645.21389,standard,42675.75,casual fan
42645.38889,vip,42675.75,
42645.45208,standard,42675.75,
42645.46736,standard,42675.75,
42645.48194,standard,42675.75,hardcore fan
42645.51389,standard,42675.75,
42645.58542,standard,42675.75,hardcore fan
42645.5875,standard,42675.75,casual fan
42645.62083,vip,42675.75,casual fan
42645.73056,vip,42675.75,
42645.76806,standard,42675.75,casual fan
42645.91667,standard,42675.75,
42645.92708,standard,42675.75,hardcore fan
42645.96042,standard,42675.75,
42646.05278,standard,42675.75,
42646.17569,vip,42675.75,casual fan
42646.17847,standard,42675.75,
42646.21944,standard,42675.75,
42646.22083,standard,42675.75,hardcore fan
42646.30556,vip,42675.75,
42646.33681,standard,42675.75,
42646.38611,vip,42675.75,
42646.42292,vip,42675.75,casual fan
42646.54444,standard,42675.75,
42646.57014,vip,42675.75,casual fan
42646.62083,vip,42675.75,casual fan
42646.67292,standard,42675.75,
42646.73194,vip,42675.75,casual fan
42646.83125,vip,42675.75,hardcore fan
42646.99653,vip,42675.75,
42646.99792,vip,42675.75,
42647.02292,standard,42675.75,hardcore fan
42647.08611,vip,42675.75,casual fan
42647.11319,vip,42675.75,
42647.15,standard,42675.75,
42647.27847,standard,42675.75,hardcore fan
42647.31667,standard,42675.75,
42647.33958,standard,42675.75,casual fan
42647.38958,standard,42675.75,
42647.64306,standard,42675.75,casual fan
42647.69306,vip,42675.75,
42647.95278,vip,42675.75,
42647.99931,standard,42675.75,
42648.08542,standard,42675.75,hardcore fan
42648.15556,standard,42675.75,casual fan
42648.22569,standard,42675.75,hardcore fan
42648.22639,vip,42675.75,casual fan
42648.45069,vip,42675.75,casual fan
42648.62917,standard,42675.75,
42648.64514,standard,42675.75,
42648.67917,standard,42675.75,hardcore fan
42648.69375,standard,42675.75,
42648.71181,standard,42675.75,casual fan
42648.8,standard,42675.75,
42648.84444,standard,42675.75,
42648.88194,standard,42675.75,hardcore fan
42648.88264,standard,42675.75,
42649.03125,standard,42675.75,casual fan
42649.04167,vip,42675.75,
42649.09375,standard,42675.75,
42649.13264,standard,42675.75,hardcore fan
42649.14097,standard,42675.75,
42649.29236,standard,42675.75,
42649.53819,vip,42675.75,hardcore fan
42649.77778,standard,42675.75,
42649.80069,standard,42675.75,
42649.85972,standard,42675.75,hardcore fan
42649.87847,vip,42675.75,
42649.88819,vip,42675.75,casual fan
42649.96319,standard,42675.75,hardcore fan
42650.1,standard,42675.75,casual fan
42650.10486,vip,42675.75,
42650.24444,vip,42675.75,
42650.44236,standard,42675.75,hardcore fan
42650.47917,vip,42675.75,
42650.55486,standard,42675.75,
42650.58333,standard,42675.75,casual fan
42650.62014,standard,42675.75,
42650.64514,standard,42675.75,
42650.74167,standard,42675.75,
42650.78125,standard,42675.75,
42650.78403,vip,42675.75,
42650.79306,standard,42675.75,
42650.83889,standard,42675.75,
42650.84514,vip,42675.75,
42650.85694,standard,42675.75,
42650.89861,standard,42675.75,hardcore fan
42650.93264,standard,42675.75,casual fan
42650.99653,standard,42675.75,casual fan
42651.00556,standard,42675.75,hardcore fan
42651.03403,standard,42675.75,hardcore fan
42651.10764,standard,42675.75,casual fan
42651.12361,standard,42675.75,casual fan
42651.15347,standard,42675.75,hardcore fan
42651.15486,vip,42675.75,
42651.32847,vip,42675.75,
42651.33125,vip,42675.75,
42651.34722,vip,42675.75,
42651.34792,standard,42675.75,
42651.39792,standard,42675.75,
42651.40139,standard,42675.75,
42651.45972,vip,42675.75,
42651.48333,standard,42675.75,hardcore fan
42651.50486,standard,42675.75,hardcore fan
42651.50625,standard,42675.75,
42651.55278,standard,42675.75,
42651.57847,standard,42675.75,
42651.66806,standard,42675.75,casual fan
42651.66875,vip,42675.75,
42651.67986,standard,42675.75,
42651.68472,vip,42675.75,
42651.92292,vip,42675.75,
42652.04653,standard,42675.75,
42652.04931,standard,42675.75,
42652.05417,standard,42675.75,casual fan
42652.13472,standard,42675.75,
42652.14792,standard,42675.75,
42652.16181,standard,42675.75,
42652.20069,standard,42675.75,
42652.21458,standard,42675.75,casual fan
42652.23125,standard,42675.75,
42652.26597,standard,42675.75,casual fan
42652.28681,standard,42675.75,
42652.28819,standard,42675.75,
42652.31597,standard,42675.75,
42652.33056,vip,42675.75,hardcore fan
42652.39722,standard,42675.75,
42652.39861,standard,42675.75,
42652.58819,vip,42675.75,
42652.67778,standard,42675.75,casual fan
42652.87569,vip,42675.75,
42653.1,standard,42675.75,
42653.10833,standard,42675.75,
42653.14653,standard,42675.75,
42653.17361,vip,42675.75,
42653.18542,standard,42675.75,
42653.2,standard,42675.75,casual fan
42653.22083,standard,42675.75,
42653.47014,vip,42675.75,hardcore fan
42653.48125,standard,42675.75,casual fan
42653.50208,standard,42675.75,
42653.52153,standard,42675.75,casual fan
42653.53194,standard,42675.75,
42653.54306,standard,42675.75,hardcore fan
42653.58958,vip,42675.75,hardcore fan
42653.65486,vip,42675.75,
42653.71528,standard,42675.75,
42653.72292,vip,42675.75,
42653.73611,vip,42675.75,hardcore fan
42653.75694,vip,42675.75,casual fan
42653.79583,standard,42675.75,
42653.80625,standard,42675.75,
42653.86319,standard,42675.75,
42653.86736,standard,42675.75,casual fan
42653.93819,standard,42675.75,
42653.96042,standard,42675.75,
42654.01806,standard,42675.75,
42654.03056,standard,42675.75,casual fan
42654.04653,standard,42675.75,
42654.08194,standard,42675.75,hardcore fan
42654.10139,standard,42675.75,casual fan
42654.15764,standard,42675.75,
42654.16667,standard,42675.75,casual fan
42654.18889,standard,42675.75,
42654.34306,vip,42675.75,
42654.52708,vip,42675.75,
42654.62639,standard,42675.75,casual fan
42654.64931,vip,42675.75,
42654.66597,vip,42675.75,
42654.68403,standard,42675.75,
42654.70069,standard,42675.75,casual fan
42654.70694,standard,42675.75,casual fan
42654.71528,vip,42675.75,
42654.83125,standard,42675.75,hardcore fan
42654.85278,standard,42675.75,
42654.86389,standard,42675.75,
42654.93403,standard,42675.75,
42655.02708,standard,42675.75,hardcore fan
42655.07986,standard,42675.75,casual fan
42655.09167,standard,42675.75,casual fan
42655.19722,vip,42675.75,
42655.23611,standard,42675.75,casual fan
42655.24583,vip,42675.75,hardcore fan
42655.27153,standard,42675.75,
42655.27292,vip,42675.75,
42655.27431,standard,42675.75,casual fan
42655.29653,vip,42675.75,hardcore fan
42655.32222,vip,42675.75,casual fan
42655.36111,standard,42675.75,casual fan
42655.37222,standard,42675.75,
42655.45208,standard,42675.75,
42655.47847,standard,42675.75,casual fan
42655.49097,standard,42675.75,
42655.52847,standard,42675.75,
42655.56111,standard,42675.75,
42655.58056,standard,42675.75,
42655.58125,standard,42675.75,
42655.65972,standard,42675.75,
42655.67569,standard,42675.75,hardcore fan
42655.68333,vip,42675.75,casual fan
42655.75694,vip,42675.75,
42655.80833,standard,42675.75,
42655.82361,standard,42675.75,
42655.83264,vip,42675.75,casual fan
42655.86111,vip,42675.75,
42655.86875,vip,42675.75,casual fan
42655.8875,vip,42675.75,
42655.92917,vip,42675.75,
42655.97917,standard,42675.75,
42656.02986,standard,42675.75,
42656.10069,standard,42675.75,casual fan
42656.10486,standard,42675.75,casual fan
42656.17431,vip,42675.75,
42656.18681,vip,42675.75,casual fan
42656.2,standard,42675.75,
42656.22917,vip,42675.75,casual fan
42656.28194,vip,42675.75,
42656.31042,standard,42675.75,casual fan
42656.33125,vip,42675.75,
42656.37292,standard,42675.75,casual fan
42656.39097,standard,42675.75,
42656.39931,standard,42675.75,hardcore fan
42656.42083,standard,42675.75,
42656.44444,standard,42675.75,
42656.47153,standard,42675.75,
42656.57847,vip,42675.75,casual fan
42656.58889,standard,42675.75,
42656.625,standard,42675.75,casual fan
42656.65833,standard,42675.75,
42656.66042,standard,42675.75,casual fan
42656.66528,vip,42675.75,casual fan
42656.74167,standard,42675.75,
42656.79028,vip,42675.75,
42656.82917,standard,42675.75,
42656.86806,standard,42675.75,
42656.91736,vip,42675.75,casual fan
42656.96181,vip,42675.75,
42656.96667,vip,42675.75,casual fan
42656.97222,standard,42675.75,casual fan
42656.9875,vip,42675.75,
42656.99861,standard,42675.75,
42656.99931,vip,42675.75,casual fan
42657.01389,vip,42675.75,casual fan
42657.05833,standard,42675.75,casual fan
42657.07292,vip,42675.75,
42657.16806,standard,42675.75,casual fan
42657.18056,vip,42675.75,hardcore fan
42657.22153,standard,42675.75,
42657.28681,standard,42675.75,casual fan
42657.32917,standard,42675.75,casual fan
42657.36667,standard,42675.75,casual fan
42657.41181,standard,42675.75,casual fan
42657.52917,standard,42675.75,
42657.60486,standard,42675.75,hardcore fan
42657.68333,standard,42675.75,
42657.77639,standard,42675.75,
42657.78542,standard,42675.75,
42657.81528,standard,42675.75,
42657.86528,standard,42675.75,casual fan
42657.88056,standard,42675.75,
42657.91389,standard,42675.75,hardcore fan
42657.92153,standard,42675.75,
42657.93472,vip,42675.75,
42657.96181,standard,42675.75,
42657.96806,standard,42675.75,
42657.97361,standard,42675.75,
42657.97708,standard,42675.75,
42657.98889,vip,42675.75,
42658.06042,standard,42675.75,
42658.0875,vip,42675.75,
42658.08889,standard,42675.75,
42658.10347,standard,42675.75,hardcore fan
42658.10764,vip,42675.75,
42658.11736,standard,42675.75,
42658.18264,vip,42675.75,casual fan
42658.24167,standard,42675.75,
42658.31736,standard,42675.75,hardcore fan
42658.34236,standard,42675.75,casual fan
42658.34306,vip,42675.75,casual fan
42658.35,vip,42675.75,casual fan
42658.3625,vip,42675.75,
42658.36736,standard,42675.75,
42658.37778,standard,42675.75,casual fan
42658.38333,vip,42675.75,casual fan
42658.41042,standard,42675.75,casual fan
42658.47222,standard,42675.75,casual fan
42658.50764,vip,42675.75,
42658.55972,standard,42675.75,
42658.56667,standard,42675.75,
42658.60278,standard,42675.75,casual fan
42658.68819,standard,42675.75,casual fan
42658.78889,standard,42675.75,casual fan
42658.80278,standard,42675.75,casual fan
42658.83958,vip,42675.75,hardcore fan
42658.87083,vip,42675.75,
42658.91875,standard,42675.75,
42659.00278,vip,42675.75,
42659.01042,vip,42675.75,
42659.10347,standard,42675.75,
42659.15694,standard,42675.75,casual fan
42659.16389,standard,42675.75,casual fan
42659.16528,standard,42675.75,
42659.20069,standard,42675.75,casual fan
42659.23264,standard,42675.75,
42659.36042,standard,42675.75,casual fan
42659.36528,standard,42675.75,casual fan
42659.56736,standard,42675.75,casual fan
42659.57917,vip,42675.75,casual fan
42659.60833,standard,42675.75,casual fan
42659.61806,standard,42675.75,
42659.68611,standard,42675.75,
42659.71875,standard,42675.75,
42659.74722,vip,42675.75,
42659.79514,standard,42675.75,casual fan
42659.87292,vip,42675.75,
42660.01111,standard,42675.75,casual fan
42660.03264,standard,42675.75,
42660.08403,vip,42675.75,casual fan
42660.08472,standard,42675.75,casual fan
42660.15139,standard,42675.75,
42660.20903,standard,42675.75,
42660.36875,standard,42675.75,
42660.37708,standard,42675.75,
42660.37778,vip,42675.75,casual fan
42660.43056,standard,42675.75,casual fan
42660.45069,standard,42675.75,
42660.49861,standard,42675.75,
42660.52222,standard,42675.75,hardcore fan
42660.53194,standard,42675.75,
42660.56111,vip,42675.75,
42660.70764,vip,42675.75,
42660.72431,standard,42675.75,casual fan
42660.7625,standard,42675.75,
42660.77778,standard,42675.75,
42660.84653,standard,42675.75,
42660.87847,standard,42675.75,
42660.96111,vip,42675.75,
42661.0125,vip,42675.75,casual fan
42661.01389,vip,42675.75,casual fan
42661.04306,vip,42675.75,casual fan
42661.06458,standard,42675.75,casual fan
42661.09306,standard,42675.75,
42661.10486,standard,42675.75,casual fan
42661.14583,standard,42675.75,
42661.15417,vip,42675.75,
42661.15417,vip,42675.75,
42661.15486,vip,42675.75,casual fan
42661.15833,standard,42675.75,hardcore fan
42661.24167,standard,42675.75,casual fan
42661.24861,standard,42675.75,
42661.27986,standard,42675.75,
42661.36042,vip,42675.75,casual fan
42661.36389,vip,42675.75,casual fan
42661.37222,vip,42675.75,casual fan
42661.41806,standard,42675.75,
42661.45,vip,42675.75,
42661.45903,standard,42675.75,casual fan
42661.46736,vip,42675.75,
42661.48681,standard,42675.75,
42661.51806,standard,42675.75,
42661.53125,standard,42675.75,hardcore fan
42661.59722,standard,42675.75,
42661.66319,vip,42675.75,casual fan
42661.70208,standard,42675.75,
42661.72778,standard,42675.75,
42661.73333,standard,42675.75,
42661.74514,standard,42675.75,hardcore fan
42661.7625,vip,42675.75,
42661.80347,standard,42675.75,casual fan
42661.8125,vip,42675.75,
42661.81597,standard,42675.75,
42661.91806,standard,42675.75,
42661.92569,standard,42675.75,hardcore fan
42661.94097,standard,42675.75,
42661.97986,standard,42675.75,casual fan
42661.98958,standard,42675.75,
42662.00833,standard,42675.75,
42662.03194,standard,42675.75,hardcore fan
42662.08125,vip,42675.75,
42662.09722,vip,42675.75,
42662.11528,standard,42675.75,
42662.125,standard,42675.75,casual fan
42662.15417,vip,42675.75,
42662.15694,vip,42675.75,casual fan
42662.17847,standard,42675.75,
42662.2125,vip,42675.75,
42662.225,standard,42675.75,
42662.23264,vip,42675.75,casual fan
42662.23542,standard,42675.75,casual fan
42662.27917,standard,42675.75,
42662.30208,standard,42675.75,casual fan
42662.39028,standard,42675.75,
42662.41875,vip,42675.75,casual fan
42662.44583,vip,42675.75,
42662.47569,standard,42675.75,
42662.58681,standard,42675.75,
42662.65278,standard,42675.75,
42662.69028,vip,42675.75,casual fan
42662.71736,vip,42675.75,
42662.7625,standard,42675.75,
42662.79236,standard,42675.75,
42662.88819,standard,42675.75,
42663.07222,standard,42675.75,casual fan
42663.11667,standard,42675.75,
42663.13333,standard,42675.75,casual fan
42663.14514,vip,42675.75,hardcore fan
42663.16806,standard,42675.75,hardcore fan
42663.19167,standard,42675.75,
42663.24792,vip,42675.75,casual fan
42663.27014,standard,42675.75,
42663.30625,standard,42675.75,
42663.30903,vip,42675.75,
42663.32222,standard,42675.75,casual fan
42663.40972,standard,42675.75,
42663.43264,vip,42675.75,hardcore fan
42663.44722,vip,42675.75,casual fan
42663.47708,vip,42675.75,casual fan
42663.51806,standard,42675.75,casual fan
42663.57292,standard,42675.75,casual fan
42663.57431,vip,42675.75,hardcore fan
42663.63333,standard,42675.75,casual fan
42663.67153,standard,42675.75,
42663.67708,vip,42675.75,casual fan
42663.68264,standard,42675.75,casual fan
42663.74514,vip,42675.75,
42663.77431,standard,42675.75,
42663.81389,standard,42675.75,
42663.83611,standard,42675.75,
42663.85694,standard,42675.75,casual fan
42663.86806,standard,42675.75,
42663.92708,vip,42675.75,
42663.93403,vip,42675.75,
42663.97847,standard,42675.75,
42663.99028,standard,42675.75,casual fan
42664.07014,standard,42675.75,casual fan
42664.07639,vip,42675.75,casual fan
42664.12847,vip,42675.75,
42664.14583,vip,42675.75,casual fan
42664.16181,standard,42675.75,
42664.17708,vip,42675.75,casual fan
42664.19861,standard,42675.75,
42664.19861,standard,42675.75,casual fan
42664.20625,standard,42675.75,casual fan
42664.21736,vip,42675.75,
42664.21736,standard,42675.75,casual fan
42664.225,vip,42675.75,
42664.25278,vip,42675.75,
42664.28472,standard,42675.75,casual fan
42664.29653,standard,42675.75,casual fan
42664.33056,standard,42675.75,
42664.375,standard,42675.75,
42664.45764,standard,42675.75,
42664.47431,standard,42675.75,
42664.52917,standard,42675.75,
42664.55556,standard,42675.75,
42664.58125,vip,42675.75,casual fan
42664.60486,vip,42675.75,
42664.63403,standard,42675.75,casual fan
42664.67083,standard,42675.75,
42664.69444,vip,42675.75,
42664.78958,standard,42675.75,casual fan
42664.81597,standard,42675.75,
42664.84583,standard,42675.75,hardcore fan
42664.90694,standard,42675.75,hardcore fan
42664.91111,standard,42675.75,
42664.91319,vip,42675.75,
42665.05694,standard,42675.75,
42665.08403,vip,42675.75,casual fan
42665.10417,standard,42675.75,
42665.17292,vip,42675.75,
42665.18819,vip,42675.75,
42665.21319,standard,42675.75,
42665.21806,vip,42675.75,casual fan
42665.22569,standard,42675.75,casual fan
42665.24028,standard,42675.75,
42665.34722,standard,42675.75,hardcore fan
42665.36319,standard,42675.75,casual fan
42665.40903,standard,42675.75,
42665.46042,vip,42675.75,casual fan
42665.47847,standard,42675.75,
42665.48333,standard,42675.75,
42665.48611,vip,42675.75,casual fan
42665.4875,vip,42675.75,casual fan
42665.53403,standard,42675.75,casual fan
42665.6,standard,42675.75,casual fan
42665.62639,standard,42675.75,casual fan
42665.63819,vip,42675.75,
42665.64375,standard,42675.75,
42665.66597,standard,42675.75,
42665.73125,standard,42675.75,
42665.77431,standard,42675.75,
42665.79028,standard,42675.75,
42665.79444,standard,42675.75,
42665.82014,vip,42675.75,
42665.84653,standard,42675.75,
42665.85694,vip,42675.75,
42665.94444,standard,42675.75,
42665.95278,standard,42675.75,casual fan
42665.97569,vip,42675.75,casual fan
42666.02639,standard,42675.75,casual fan
42666.02847,vip,42675.75,
42666.03681,standard,42675.75,
42666.07292,standard,42675.75,casual fan
42666.08194,standard,42675.75,
42666.1,standard,42675.75,
42666.10069,vip,42675.75,
42666.10556,vip,42675.75,
42666.11111,standard,42675.75,casual fan
42666.16875,standard,42675.75,casual fan
42666.21528,standard,42675.75,casual fan
42666.23681,standard,42675.75,casual fan
42666.39028,vip,42675.75,
42666.39375,vip,42675.75,
42666.41667,vip,42675.75,
42666.45069,standard,42675.75,
42666.45625,standard,42675.75,
42666.50972,standard,42675.75,
42666.54236,standard,42675.75,casual fan
42666.55,standard,42675.75,casual fan
42666.56597,standard,42675.75,casual fan
42666.61528,standard,42675.75,
42666.63472,standard,42675.75,
42666.65764,standard,42675.75,
42666.68056,standard,42675.75,
42666.68889,standard,42675.75,
42666.7,standard,42675.75,
42666.73125,vip,42675.75,casual fan
42666.85139,vip,42675.75,
42666.87917,standard,42675.75,
42666.98681,standard,42675.75,
42666.99583,standard,42675.75,casual fan
42667.00972,standard,42675.75,
42667.01875,standard,42675.75,
42667.12083,standard,42675.75,casual fan
42667.12222,vip,42675.75,casual fan
42667.16736,vip,42675.75,casual fan
42667.225,vip,42675.75,
42667.40208,standard,42675.75,
42667.48819,standard,42675.75,
42667.55556,standard,42675.75,
42667.56528,vip,42675.75,
42667.61528,standard,42675.75,
42667.63472,standard,42675.75,casual fan
42667.69931,standard,42675.75,
42667.73403,standard,42675.75,
42667.80417,standard,42675.75,
42667.93056,standard,42675.75,casual fan
42667.94653,standard,42675.75,
42667.95486,standard,42675.75,casual fan
42667.98542,standard,42675.75,
42668.01181,vip,42675.75,
42668.04097,standard,42675.75,
42668.07014,standard,42675.75,
42668.08333,standard,42675.75,
42668.10556,standard,42675.75,casual fan
42668.12153,standard,42675.75,casual fan
42668.14444,standard,42675.75,
42668.17153,standard,42675.75,
42668.17361,standard,42675.75,
42668.21597,standard,42675.75,casual fan
42668.22361,standard,42675.75,casual fan
42668.22431,standard,42675.75,
42668.25347,standard,42675.75,casual fan
42668.35069,standard,42675.75,casual fan
42668.3625,standard,42675.75,
42668.375,vip,42675.75,casual fan
42668.42014,vip,42675.75,
42668.42778,vip,42675.75,
42668.45833,standard,42675.75,casual fan
42668.50625,standard,42675.75,
42668.5375,vip,42675.75,casual fan
42668.55903,vip,42675.75,casual fan
42668.5875,standard,42675.75,
42668.60347,standard,42675.75,casual fan
42668.61389,vip,42675.75,
42668.65278,standard,42675.75,
42668.68889,standard,42675.75,
42668.69444,vip,42675.75,casual fan
42668.71667,standard,42675.75,
42668.72431,standard,42675.75,
42668.72847,vip,42675.75,
42668.74792,standard,42675.75,
42668.76667,standard,42675.75,
42668.82361,vip,42675.75,
42668.86111,standard,42675.75,casual fan
42668.88264,standard,42675.75,casual fan
42668.91458,vip,42675.75,casual fan
42668.93264,vip,42675.75,
42668.9625,vip,42675.75,casual fan
42668.96458,standard,42675.75,
42668.96736,vip,42675.75,casual fan
42668.98819,standard,42675.75,casual fan
42669.04653,standard,42675.75,
42669.09514,vip,42675.75,hardcore fan
42669.12361,standard,42675.75,casual fan
42669.17778,vip,42675.75,
42669.18403,standard,42675.75,
42669.18472,standard,42675.75,casual fan
42669.20278,standard,42675.75,
42669.22778,vip,42675.75,casual fan
42669.23264,vip,42675.75,casual fan
42669.37639,vip,42675.75,
42669.3875,standard,42675.75,casual fan
42669.40417,standard,42675.75,casual fan
42669.48472,standard,42675.75,
42669.49028,standard,42675.75,
42669.49236,standard,42675.75,
42669.54097,standard,42675.75,
42669.61736,standard,42675.75,casual fan
42669.69097,standard,42675.75,
42669.69444,standard,42675.75,
42669.70417,standard,42675.75,
42669.80764,standard,42675.75,casual fan
42669.82153,standard,42675.75,
42669.83681,standard,42675.75,casual fan
42669.85069,standard,42675.75,casual fan
42669.86597,standard,42675.75,casual fan
42669.87222,standard,42675.75,
42669.88542,standard,42675.75,casual fan
42669.94236,vip,42675.75,
42669.96111,standard,42675.75,casual fan
42670.03472,standard,42675.75,casual fan
42670.03611,vip,42675.75,
42670.04931,vip,42675.75,casual fan
42670.11458,vip,42675.75,casual fan
42670.15833,standard,42675.75,casual fan
42670.16181,standard,42675.75,
42670.25,standard,42675.75,
42670.30625,standard,42675.75,
42670.35625,standard,42675.75,casual fan
42670.37639,standard,42675.75,
42670.39097,vip,42675.75,
42670.42083,vip,42675.75,
42670.42847,standard,42675.75,casual fan
42670.43264,vip,42675.75,casual fan
42670.45764,standard,42675.75,
42670.47222,vip,42675.75,casual fan
42670.51875,standard,42675.75,
